,raw,filtered
2015-01-02 00:00:00,0.0,-0.0235254462514
2015-01-02 01:00:00,0.0,-0.0115076346451
2015-01-02 02:00:00,0.0,0.00715393394924
2015-01-02 03:00:00,0.0,0.0380999196679
2015-01-02 04:00:00,0.0,0.103381730424
2015-01-02 05:00:00,0.0,0.34026106871
2015-01-02 06:00:00,0.0,0.664824999015
2015-01-02 07:00:00,1.0,1.0452153587
2015-01-02 08:00:00,2.0,1.48186828323
2015-01-02 09:00:00,2.0,1.96187593865
2015-01-02 10:00:00,2.0,2.44416602229
2015-01-02 11:00:00,3.0,2.93882383981
2015-01-02 12:00:00,2.0,3.520018977
2015-01-02 13:00:00,4.0,2.68277737511
2015-01-02 14:00:00,5.0,2.50481518543
2015-01-02 15:00:00,4.0,2.6450208579
2015-01-02 16:00:00,2.0,2.22755959921
2015-01-02 17:00:00,2.0,1.6928709274
2015-01-02 18:00:00,1.0,1.18642544552
2015-01-02 19:00:00,0.0,0.777728362846
2015-01-02 20:00:00,0.0,0.410824994254
2015-01-02 21:00:00,0.0,0.10369980278
2015-01-02 22:00:00,0.0,0.0
2015-01-02 23:00:00,0.0,0.0
2015-01-03 00:00:00,0.0,0.0
2015-01-03 01:00:00,0.0,0.0
2015-01-03 02:00:00,0.0,0.0
2015-01-03 03:00:00,0.0,0.0
2015-01-03 04:00:00,0.0,0.0
2015-01-03 05:00:00,0.0,0.0
2015-01-03 06:00:00,0.0,0.0
2015-01-03 07:00:00,0.0,0.0
2015-01-03 08:00:00,1.0,0.0
2015-01-03 09:00:00,0.0,1.25263509457
2015-01-03 10:00:00,0.0,1.8
2015-01-03 11:00:00,0.0,0.0
2015-01-03 12:00:00,3.0,3.0
2015-01-03 13:00:00,8.0,3.5
2015-01-03 14:00:00,8.0,4.0
2015-01-03 15:00:00,7.0,4.5
2015-01-03 16:00:00,5.0,5.0
2015-01-03 17:00:00,0.0,3.75
2015-01-03 18:00:00,0.0,2.62267949305
2015-01-03 19:00:00,0.0,1.49580914458
2015-01-03 20:00:00,0.0,0.0
2015-01-03 21:00:00,0.0,0.0
2015-01-03 22:00:00,0.0,0.0
2015-01-03 23:00:00,0.0,0.0
2015-01-05 00:00:00,0.0,0.0
2015-01-05 01:00:00,0.0,0.0
2015-01-05 02:00:00,0.0,0.0
2015-01-05 03:00:00,0.0,0.0
2015-01-05 04:00:00,0.0,0.104432356045
2015-01-05 05:00:00,0.0,0.344601123478
2015-01-05 06:00:00,0.0,0.663121737524
2015-01-05 07:00:00,1.0,1.05592401762
2015-01-05 08:00:00,2.0,1.41794580662
2015-01-05 09:00:00,2.0,1.6607866759
2015-01-05 10:00:00,3.0,1.87447863223
2015-01-05 11:00:00,2.0,2.0
2015-01-05 12:00:00,2.0,2.0
2015-01-05 13:00:00,2.0,1.90350534606
2015-01-05 14:00:00,2.0,1.66880857664
2015-01-05 15:00:00,2.0,1.36361192579
2015-01-05 16:00:00,1.0,1.00000439591
2015-01-05 17:00:00,0.0,0.636640863234
2015-01-05 18:00:00,0.0,0.331587744511
2015-01-05 19:00:00,0.0,0.101847263112
2015-01-05 20:00:00,0.0,0.0
2015-01-05 21:00:00,0.0,0.0
2015-01-05 22:00:00,0.0,0.0
2015-01-05 23:00:00,0.0,0.0
2015-01-06 00:00:00,0.0,0.0
2015-01-06 01:00:00,0.0,0.0
2015-01-06 02:00:00,0.0,0.0
2015-01-06 03:00:00,0.0,0.0
2015-01-06 04:00:00,0.0,0.0824201791565
2015-01-06 05:00:00,0.0,0.293120006362
2015-01-06 06:00:00,0.0,0.591449071297
2015-01-06 07:00:00,1.0,1.01574545691
2015-01-06 08:00:00,1.0,1.53618150138
2015-01-06 09:00:00,2.0,2.17057729751
2015-01-06 10:00:00,3.0,2.89902927217
2015-01-06 11:00:00,1.0,2.80242797332
2015-01-06 12:00:00,5.0,2.90201320384
2015-01-06 13:00:00,5.0,3.0
2015-01-06 14:00:00,3.0,3.0
2015-01-06 15:00:00,4.0,2.5
2015-01-06 16:00:00,1.0,1.96623186849
2015-01-06 17:00:00,0.0,1.43180646304
2015-01-06 18:00:00,1.0,0.836579300305
2015-01-06 19:00:00,0.0,0.449130243647
2015-01-06 20:00:00,0.0,0.207488822846
2015-01-06 21:00:00,0.0,0.0487538958914
2015-01-06 22:00:00,0.0,0.0
2015-01-06 23:00:00,0.0,0.0
2015-01-07 00:00:00,0.0,0.0
2015-01-07 01:00:00,0.0,0.0
2015-01-07 02:00:00,0.0,0.0
2015-01-07 03:00:00,0.0,0.0
2015-01-07 04:00:00,0.0,0.104977679106
2015-01-07 05:00:00,0.0,0.360132079623
2015-01-07 06:00:00,0.0,0.698744078762
2015-01-07 07:00:00,1.0,1.08649331492
2015-01-07 08:00:00,2.0,1.50851584288
2015-01-07 09:00:00,2.0,1.81634517268
2015-01-07 10:00:00,3.0,2.02033867297
2015-01-07 11:00:00,2.0,2.0
2015-01-07 12:00:00,3.0,2.0
2015-01-07 13:00:00,3.0,1.99342721672
2015-01-07 14:00:00,2.0,1.94008573713
2015-01-07 15:00:00,2.0,1.68120572947
2015-01-07 16:00:00,1.0,1.27489063817
2015-01-07 17:00:00,1.0,0.880836385609
2015-01-07 18:00:00,0.0,0.543474646728
2015-01-07 19:00:00,0.0,0.284218373668
2015-01-07 20:00:00,0.0,0.0750903651068
2015-01-07 21:00:00,0.0,0.0
2015-01-07 22:00:00,0.0,0.0
2015-01-07 23:00:00,0.0,0.0
2015-01-08 00:00:00,0.0,0.0
2015-01-08 01:00:00,0.0,0.0
2015-01-08 02:00:00,0.0,0.0
2015-01-08 03:00:00,0.0,0.0
2015-01-08 04:00:00,0.0,0.0699085421738
2015-01-08 05:00:00,0.0,0.274553015553
2015-01-08 06:00:00,0.0,0.523242748395
2015-01-08 07:00:00,1.0,0.852385933765
